Area,Year,CO2 intensity,Clean,Demand,Demand per capita,Fossil,Gas,Gas and Other Fossil,Hydro,"Hydro, Bioenergy and Other Renewables",Net Imports,Renewables,Solar,Total Generation,Total emissions,Wind and Solar,CO2 intensity_log,CO2 intensity_log_diff,Clean_log,Clean_log_diff,Demand_log,Demand_log_diff,Demand per capita_log,Demand per capita_log_diff,Fossil_log,Fossil_log_diff,Gas_diff,Gas and Other Fossil_log,Gas and Other Fossil_log_diff,Hydro_log,Hydro_log_diff,"Hydro, Bioenergy and Other Renewables_log","Hydro, Bioenergy and Other Renewables_log_diff",Net Imports_diff,Renewables_log,Renewables_log_diff,Total Generation_log,Total Generation_log_diff,Total emissions_log,Total emissions_log_diff,Demand_lag1,Demand_lag2,Demand_lag3,Demand_rolling_mean,Demand_rolling_std,Demand_diff,Fossil_to_Renewables,Demand_growth
Algeria,2004,634.56,0.335,31.26,0.96,38.965,38.015,38.965,0.335,0.335,0.01,0.335,0.0,31.25,19.83,0.0,6.452931845331431,0.0007409451330193,-1.0936247471570706,-0.0650048303089958,3.4423393249933305,0.055240867710677,-0.0408219945202551,0.0425596144187958,3.662663807295525,0.0203519889979229,0.8149999999999977,3.662663807295525,0.0203519889979229,-1.0936247471570706,-0.0650048303089958,-1.0936247471570706,-0.0650048303089958,0.0,-1.0936247471570706,-0.0650048303089958,3.4420193761824107,0.055259042318025,2.9871959425317045,0.0560021901152847,29.58,27.63,26.57,29.49,1.8166727828643237,1.6800000000000033,116.31343280110046,0.05679513184584195
Algeria,2005,629.31,0.615,33.99,1.03,39.8325,38.8725,39.8325,0.615,0.615,0.08,0.615,0.0,33.91,21.34,0.0,6.444623981078808,-0.0083078642526235,-0.4861330111756192,0.6074917359814513,3.5260663637080247,0.0837270387146942,0.0295588022415444,0.0703807967617995,3.684683161982527,0.0220193546870022,0.8575000000000017,3.684683161982527,0.0220193546870022,-0.4861330111756192,0.6074917359814513,-0.4861330111756192,0.6074917359814513,0.07,-0.4861330111756192,0.6074917359814513,3.523709956137547,0.0816905799551364,3.060583245873607,0.0733873033419025,31.26,29.58,27.63,31.610000000000003,2.225735833381854,2.7300000000000004,64.7682926723954,0.0873320537428024
Algeria,2006,635.82,0.275,35.31,1.05,40.9825,40.0075,40.9825,0.275,0.275,0.08,0.275,0.0,35.23,22.4,0.0,6.454915504414799,0.0102915233359919,-1.2909841813155656,-0.8048511701399463,3.564166209940295,0.0380998462322703,0.048790164169432,0.0192313619278876,3.713145146318474,0.0284619843359474,1.134999999999998,3.713145146318474,0.0284619843359474,-1.2909841813155656,-0.8048511701399463,-1.2909841813155656,-0.8048511701399463,0.0,-1.2909841813155656,-0.8048511701399463,3.561897992353146,0.0381880362155988,3.109060958860994,0.048477712987387,33.99,31.26,29.58,33.52,2.0655023602019953,1.3200000000000003,149.02727267308097,0.03883495145631066
Algeria,2007,635.92,0.2675,37.2,1.09,41.945,40.9225,41.945,0.2675,0.2675,0.01,0.2675,0.0,37.19,23.65,0.0,6.4550727692648575,0.000157264850058,-1.3186357126460757,-0.0276515313305101,3.616308761279101,0.052142551338806,0.0861776962410524,0.0373875320716203,3.736359236298258,0.0232140899797839,0.9149999999999991,3.736359236298258,0.0232140899797839,-1.3186357126460757,-0.0276515313305101,-1.3186357126460757,-0.0276515313305101,-0.07,-1.3186357126460757,-0.0276515313305101,3.6160399079369783,0.0541419155838327,3.1633631149379418,0.0543021560769476,35.31,33.99,31.26,35.5,1.6134125324913025,1.8900000000000006,156.80373825913878,0.053525913338997366
Algeria,2008,635.35,0.305,40.18,1.15,43.1475,42.16,43.1475,0.305,0.305,-0.05,0.305,0.0,40.23,25.56,0.0,6.454176028150544,-0.0008967411143139,-1.1874435023747254,0.1311922102713503,3.693369359386789,0.0770605981076872,0.1397619423751586,0.0535842461341062,3.764624478423421,0.0282652421251632,1.2374999999999972,3.764624478423421,0.0282652421251632,-1.1874435023747254,0.1311922102713503,-1.1874435023747254,0.1311922102713503,-0.06,-1.1874435023747254,0.1311922102713503,3.694612985961697,0.0785730780247182,3.241028629509334,0.0776655145713922,37.2,35.31,33.99,37.56333333333333,2.4552460840684165,2.979999999999997,141.46721306837142,0.0801075268817204
Algeria,2009,634.55,0.33,38.47,1.08,42.72,41.895,42.72,0.33,0.33,-0.03,0.33,0.0,38.5,24.43,0.0,6.452916086256173,-0.0012599418943706,-1.1086626245216111,0.0787808778531142,3.649878716764204,-0.0434906426225847,0.0769610411361284,-0.0628009012390302,3.754667194651939,-0.0099572837714818,-0.2649999999999934,3.754667194651939,-0.0099572837714818,-1.1086626245216111,0.0787808778531142,-1.1086626245216111,0.0787808778531142,0.02,-1.1086626245216111,0.0787808778531142,3.6506582412937383,-0.0439547446679582,3.195811885269649,-0.0452167442396849,40.18,37.2,35.31,38.61666666666667,1.4954040702543503,-1.7100000000000009,129.4545454153168,-0.04255848680935792
Algeria,2010,637.0,0.2,45.66,1.26,46.2825,45.1675,46.2825,0.1925,0.1925,-0.07,0.2,0.0075,45.73,29.13,0.0075,6.456769655572163,0.0038535693159902,-1.6094379124341005,-0.5007752879124892,3.821222641101649,0.1713439243374455,0.2311117209633866,0.1541506798272582,3.8347639198811945,0.080096725229255,3.2724999999999937,3.8347639198811945,0.080096725229255,-1.647659125254298,-0.5389965007326869,-1.647659125254298,-0.5389965007326869,-0.04,-1.6094379124341005,-0.5007752879124892,3.822754537669964,0.1720962963762251,3.3717685709713434,0.1759566857016943,38.47,40.18,37.2,41.43666666666667,3.75611945141967,7.189999999999998,231.4124998842937,0.1868988822459059
Algeria,2011,633.35,0.4375,51.08,1.38,48.3325,47.1575,48.3325,0.43,0.43,-0.14,0.4375,0.0075,51.22,32.44,0.0075,6.451023191929641,-0.0057464636425219,-0.8266785731844679,0.7827593392496324,3.9333930311643375,0.1121703900626891,0.3220834991691132,0.0909717782057265,3.87810421222452,0.0433402923433257,1.990000000000002,3.87810421222452,0.0433402923433257,-0.843970070294529,0.8036890549597691,-0.843970070294529,0.8036890549597691,-0.07,-0.8266785731844679,0.7827593392496324,3.9361300807713793,0.1133755431014154,3.479392229247212,0.1076236582758687,45.66,38.47,40.18,45.06999999999999,6.325669924996069,5.420000000000002,110.47428568903446,0.11870346035917656
Algeria,2012,632.75,0.4925,57.35,1.52,51.0975,49.98,51.0975,0.485,0.485,-0.05,0.4925,0.0075,57.4,36.32,0.0075,6.450075399425233,-0.0009477925044079,-0.7082608183699934,0.1184177548144744,4.04917284357538,0.1157798124110414,0.418710334858185,0.0966268356890718,3.933735572333796,0.0556313601092757,2.822499999999998,3.933735572333796,0.0556313601092757,-0.7236063880446539,0.120363682249875,-0.7236063880446539,0.120363682249875,0.09,-0.7082608183699934,0.1184177548144744,4.050044303325521,0.1139142225541416,3.5923685537330927,0.1129763244858805,51.08,45.66,38.47,51.36333333333334,5.850148146272276,6.270000000000003,103.75126901446674,0.1227486296006266
Algeria,2013,636.0,0.2875,59.8,1.56,52.725,51.705,52.725,0.28,0.28,-0.09,0.2875,0.0075,59.89,38.09,0.0075,6.455198563340122,0.0051231639148889,-1.2465324187447318,-0.5382716003747383,4.091005660956586,0.0418328173812065,0.4446858212614457,0.0259754864032606,3.9650897263648384,0.0313541540310424,1.7250000000000014,3.9650897263648384,0.0313541540310424,-1.272965675812887,-0.5493592877682334,-1.272965675812887,-0.5493592877682334,-0.0399999999999999,-1.2465324187447318,-0.5382716003747383,4.092509546276371,0.0424652429508505,3.6399517804905126,0.0475832267574198,57.35,51.08,45.66,56.07666666666666,4.497291777651608,2.4499999999999957,183.39130428403783,0.042720139494333065
