Area,Year,Aggregate fuel,CO2 intensity,Demand,Demand per capita,Electricity imports,Fuel,Total
Algeria,2000,12.234583333333333,638.58,25.33,0.82,-0.07,4.5796875,20.81
Algeria,2001,12.427916666666667,638.24,26.57,0.85,-0.05,4.6509375,21.805
Algeria,2002,12.605833333333335,637.98,27.63,0.87,-0.02,4.7184375,22.645
Algeria,2003,12.905416666666667,634.09,29.58,0.92,0.01,4.8171875,24.16
Algeria,2004,13.155833333333334,634.56,31.26,0.96,0.01,4.9125,25.54
Algeria,2005,13.585,629.31,33.99,1.03,0.08,5.0559375,27.625
Algeria,2006,13.798333333333332,635.82,35.31,1.05,0.08,5.1571875,28.814999999999998
Algeria,2007,14.115416666666667,635.92,37.2,1.09,0.01,5.2765625,30.419999999999998
Algeria,2008,14.534999999999998,635.35,40.18,1.15,-0.05,5.4315625,32.894999999999996
Algeria,2009,14.405000000000001,634.55,38.47,1.08,-0.03,5.38125,31.465
Algeria,2010,15.527499999999998,637.0,45.66,1.26,-0.07,5.8103125,37.43
Algeria,2011,16.329583333333332,633.35,51.08,1.38,-0.14,6.09625,41.83
Algeria,2012,17.27875,632.75,57.35,1.52,-0.05,6.4487499999999995,46.86
Algeria,2013,17.71875,636.0,59.8,1.56,-0.09,6.6265624999999995,48.99
Algeria,2014,18.335833333333333,637.0,64.08,1.63,-0.19,6.8615625,52.605
Algeria,2015,19.087500000000002,637.42,68.81,1.72,-0.03,7.1446875,56.36
Algeria,2016,19.54125,636.4,70.79,1.73,-0.25,7.3071874999999995,58.125
Algeria,2017,20.283333333333335,634.15,75.73,1.82,-0.34,7.5734375,62.155
Algeria,2018,20.48125,632.7,76.66,1.8,-0.09,7.6409375,62.655
Algeria,2019,21.357083333333332,632.77,81.47,1.88,-0.14,7.96875,66.625
Algeria,2020,21.07708333333333,632.61,79.31,1.8,-0.06,7.863124999999999,64.79
Algeria,2021,22.050833333333333,633.53,84.45,1.89,-1.15,8.233125000000001,69.91499999999999
Algeria,2022,23.02208333333333,633.65,88.9,1.96,-2.57,8.5953125,74.715
Algeria,2023,23.682083333333335,633.65,94.02,2.04,-2.28,8.841875,78.66
Austria,2000,20.06,203.39,58.27,7.27,-1.37,5.346285714285714,35.885
Austria,2001,20.009166666666665,229.09,61.2,7.61,0.22,5.451714285714286,37.475
Austria,2002,19.964166666666667,226.13,61.33,7.59,0.7,5.4314285714285715,37.17
Austria,2003,19.143333333333334,282.39,63.58,7.83,5.61,5.4631428571428575,37.17
Austria,2004,19.930416666666666,259.34,64.93,7.94,3.08,5.5768571428571425,38.945
Austria,2005,20.469166666666666,254.0,66.99,8.14,2.62,5.689714285714286,40.36
Austria,2006,20.308333333333334,253.01,68.55,8.29,6.34,5.614285714285714,38.975
Austria,2007,20.695833333333333,232.69,68.85,8.3,6.02,5.612571428571428,38.725
Austria,2008,21.124166666666667,220.41,69.24,8.32,4.86,5.668,39.285
Austria,2009,21.780833333333334,195.89,66.99,8.03,0.78,5.728857142857143,39.589999999999996
Austria,2010,21.715,226.78,70.26,8.4,2.44,5.857714285714286,41.599999999999994
Austria,2011,20.961666666666666,238.59,70.4,8.39,8.2,5.691714285714286,38.52
Austria,2012,22.399583333333336,185.87,71.45,8.47,2.8,5.841714285714286,40.705000000000005
Austria,2013,22.11375,173.35,71.82,8.47,7.27,5.695428571428572,37.87
Austria,2014,22.076666666666668,150.45,70.82,8.29,9.27,5.570571428571428,35.405
Austria,2015,21.971666666666668,172.06,71.84,8.31,10.06,5.622571428571429,36.205
Austria,2016,22.642916666666665,154.62,72.03,8.24,7.16,5.7134285714285715,37.45
Austria,2017,22.871666666666666,162.92,73.64,8.37,6.55,5.811142857142857,39.010000000000005
Austria,2018,22.709999999999997,157.88,73.62,8.33,8.95,5.744000000000001,37.44
Austria,2019,23.537499999999998,152.78,73.82,8.31,3.13,5.934,40.745
Austria,2020,23.633750000000003,133.4,71.24,7.99,2.2,5.8588571428571425,39.125
Austria,2021,23.47375,135.16,74.35,8.29,7.54,5.816,37.92
Austria,2022,23.31458333333333,141.06,73.21,8.08,8.7,5.790571428571428,36.805
Austria,2023,24.78,111.61,70.71,7.74,-0.07,6.018285714285714,39.34
Austria,2024,26.182083333333335,102.74,71.77,7.87,-6.78,6.314285714285714,43.31
Egypt,2000,20.31,525.64,73.17,1.0,-0.15,8.662692307692307,55.92999999999999
Egypt,2001,21.31791666666667,533.76,80.5,1.08,-0.21,9.148076923076923,61.894999999999996
Egypt,2002,22.0625,542.97,85.45,1.12,-0.78,9.530384615384616,66.525
Egypt,2003,22.915000000000003,556.03,91.27,1.17,-0.92,9.983461538461539,71.725
Egypt,2004,23.714583333333334,559.9,97.55,1.23,-0.7,10.36423076923077,76.63
Egypt,2005,24.594583333333333,566.99,104.16,1.28,-0.78,10.793846153846154,82.22
Egypt,2006,25.62625,570.21,111.31,1.35,-0.35,11.273846153846154,87.66499999999999
Egypt,2007,26.76291666666667,567.58,119.3,1.42,-0.56,11.759615384615385,93.945
Egypt,2008,28.116249999999997,567.39,127.9,1.49,-0.9,12.35923076923077,100.94
Egypt,2009,28.88875,576.45,133.33,1.52,-0.94,12.766153846153847,105.83500000000001
Egypt,2010,30.561666666666667,582.7,142.99,1.6,-1.44,13.564615384615385,114.295
Egypt,2011,31.4375,583.18,147.98,1.62,-1.58,13.964230769230769,118.39
Egypt,2012,33.333333333333336,587.88,162.44,1.74,-0.4,14.850000000000001,129.285
Egypt,2013,33.695,589.17,164.68,1.73,-0.4,15.02,131.17000000000002
Egypt,2014,34.5925,591.86,170.56,1.75,-0.68,15.443076923076925,136.29500000000002
Egypt,2015,36.410833333333336,592.26,181.14,1.82,-0.69,16.26269230769231,144.76
Egypt,2016,37.29833333333333,592.97,187.92,1.85,-0.27,16.671153846153846,149.89
Egypt,2017,38.24375,594.69,192.87,1.86,-0.34,17.118846153846153,154.055
Egypt,2018,40.5075,592.41,198.82,1.88,-0.57,18.121153846153845,158.755
Egypt,2019,41.05291666666667,582.49,199.78,1.86,-0.79,18.265384615384615,158.7
Egypt,2020,40.935833333333335,569.08,197.18,1.8,-1.42,18.081153846153846,155.81
Egypt,2021,42.559583333333336,568.06,208.19,1.88,-1.47,18.79,164.38
Egypt,2022,43.45208333333334,570.04,215.15,1.91,-1.57,19.201153846153847,170.13
Egypt,2023,44.182916666666664,571.29,220.32,1.92,-1.6,19.526153846153846,174.35
Egypt,2024,46.40833333333333,574.5,235.79,2.02,-1.6,20.530384615384612,186.885
France,2000,44.82375,79.77,463.08,7.79,-69.48,22.138333333333335,287.52
France,2001,46.07208333333333,68.63,474.21,7.92,-68.39,22.29888888888889,289.92
France,2002,45.56,75.21,474.21,7.86,-77.03,22.688333333333333,296.35
France,2003,46.05375,80.86,492.72,8.11,-66.41,23.006666666666668,302.17
France,2004,46.41458333333333,77.19,504.39,8.25,-61.91,23.15888888888889,305.005
France,2005,46.217083333333335,85.53,508.81,8.26,-60.33,23.34305555555555,308.90999999999997
France,2006,46.412083333333335,76.57,503.96,8.12,-63.34,23.14,305.37
France,2007,46.706250000000004,80.11,505.03,8.09,-56.81,23.05277777777778,303.425
France,2008,47.72666666666667,76.03,518.99,8.27,-47.99,23.18638888888889,305.045
France,2009,45.80833333333334,75.6,502.94,7.97,-25.93,22.128888888888888,284.425
France,2010,48.877916666666664,78.56,531.65,8.38,-30.71,23.27777777777778,303.27
France,2011,48.90541666666667,74.62,511.24,8.02,-56.41,23.458333333333332,305.005
France,2012,50.68541666666667,77.59,523.06,8.17,-44.52,23.54138888888889,305.81
France,2013,52.0225,76.29,528.29,8.21,-48.46,23.735,310.375
France,2014,50.194583333333334,52.22,499.12,7.72,-67.19,23.034444444444446,297.94
France,2015,51.37291666666667,59.17,510.08,7.86,-64.06,23.42638888888889,304.055
France,2016,52.737500000000004,68.62,517.34,7.95,-41.5,23.1425,298.595
France,2017,52.75625,78.28,516.33,7.91,-40.13,23.215833333333336,300.01
France,2018,54.64541666666667,59.92,512.93,7.83,-62.97,23.539166666666667,305.205
France,2019,55.110833333333325,59.79,508.0,7.73,-57.67,23.31,299.745
France,2020,54.69083333333333,59.08,482.38,7.32,-45.04,22.196111111111108,279.28999999999996
France,2021,55.60583333333333,59.79,505.56,7.65,-44.89,22.946944444444444,291.68
France,2022,53.15625,78.55,483.43,7.29,14.94,20.87666666666667,252.645
France,2023,56.60791666666666,55.28,467.12,7.03,-50.47,22.15833333333333,273.1
France,2024,59.035000000000004,44.14,467.71,7.03,-89.85,23.345,291.085
Morocco,2000,7.262499999999999,759.12,16.03,0.56,2.33,3.738235294117647,12.05
Morocco,2001,7.047083333333333,769.23,17.14,0.6,1.54,3.8514705882352938,13.8
Morocco,2002,7.102083333333334,765.56,16.47,0.56,1.37,3.8238235294117646,13.33
Morocco,2003,7.600416666666667,735.01,17.76,0.6,1.42,3.876176470588235,14.175
Morocco,2004,7.72375,732.69,19.0,0.63,1.53,3.93264705882353,15.135
Morocco,2005,8.173333333333334,717.03,20.07,0.66,0.81,4.026764705882353,16.535
Morocco,2006,8.32625,708.61,21.9,0.71,2.03,4.052941176470589,16.975
Morocco,2007,8.370833333333334,707.47,23.2,0.74,3.51,4.0447058823529405,16.810000000000002
Morocco,2008,8.74875,695.82,24.61,0.78,4.26,4.070882352941176,17.255000000000003
Morocco,2009,9.445,635.45,25.55,0.8,4.62,4.078823529411765,17.115000000000002
Morocco,2010,10.088333333333333,610.5,26.79,0.83,3.94,4.169705882352941,18.4
Morocco,2011,9.89875,652.71,28.97,0.88,4.61,4.272058823529412,20.13
Morocco,2012,10.25125,648.44,31.35,0.94,4.84,4.382941176470588,21.85
Morocco,2013,10.459166666666667,612.47,32.34,0.96,5.4,4.38264705882353,21.72
Morocco,2014,9.884166666666667,651.35,34.09,1.0,6.01,4.498235294117647,23.185
Morocco,2015,10.1375,639.92,34.88,1.01,4.97,4.581470588235295,24.525
Morocco,2016,10.39625,633.63,36.02,1.03,5.15,4.625588235294118,25.215
Morocco,2017,10.517916666666666,637.45,37.84,1.07,5.9,4.694705882352942,26.15
Morocco,2018,10.674999999999999,621.53,37.93,1.06,3.37,4.867647058823529,28.020000000000003
Morocco,2019,10.904166666666667,631.75,39.45,1.09,-0.93,5.157058823529412,32.945
Morocco,2020,10.543750000000001,645.62,39.03,1.07,0.23,5.103823529411764,31.924999999999997
Morocco,2021,10.928333333333333,639.95,41.14,1.11,-0.16,5.221470588235294,33.864999999999995
Morocco,2022,10.816666666666668,662.64,42.81,1.15,1.4,5.2570588235294125,34.425
Morocco,2023,11.459583333333333,616.35,44.31,1.18,1.85,5.2614705882352935,34.315
