Area,Year,Subcategory,Unit,Value
Austria,2000,Aggregate fuel,GW,12.47
Austria,2000,Aggregate fuel,GW,2.88
Austria,2000,Aggregate fuel,GW,0.89
Austria,2000,Aggregate fuel,GW,12.42
Austria,2000,Aggregate fuel,GW,12.47
Austria,2000,Aggregate fuel,GW,0.05
Austria,2000,Fuel,GW,0.8
Austria,2000,Fuel,GW,1.99
Austria,2000,Fuel,GW,0.81
Austria,2000,Fuel,GW,11.61
Austria,2000,Fuel,GW,
Austria,2000,Fuel,GW,0.08
Austria,2000,Fuel,GW,0.01
Austria,2000,Fuel,GW,0.0
Austria,2000,Fuel,GW,0.05
Austria,2000,Demand,TWh,58.27
Austria,2000,Demand per capita,MWh,7.27
Austria,2000,Aggregate fuel,%,72.84
Austria,2000,Aggregate fuel,%,27.16
Austria,2000,Aggregate fuel,%,17.57
Austria,2000,Aggregate fuel,%,72.72
Austria,2000,Aggregate fuel,%,72.84
Austria,2000,Aggregate fuel,%,0.12
Austria,2000,Aggregate fuel,TWh,43.44
Austria,2000,Aggregate fuel,TWh,16.2
Austria,2000,Aggregate fuel,TWh,10.48
Austria,2000,Aggregate fuel,TWh,43.37
Austria,2000,Aggregate fuel,TWh,43.44
Austria,2000,Aggregate fuel,TWh,0.07
Austria,2000,Fuel,%,2.57
Austria,2000,Fuel,%,9.59
Austria,2000,Fuel,%,13.16
Austria,2000,Fuel,%,70.15
Austria,2000,Fuel,%,0.0
Austria,2000,Fuel,%,4.41
Austria,2000,Fuel,%,0.0
Austria,2000,Fuel,%,0.0
Austria,2000,Fuel,%,0.12
Austria,2000,Fuel,TWh,1.53
Austria,2000,Fuel,TWh,5.72
Austria,2000,Fuel,TWh,7.85
Austria,2000,Fuel,TWh,41.84
Austria,2000,Fuel,TWh,0.0
Austria,2000,Fuel,TWh,2.63
Austria,2000,Fuel,TWh,0.0
Austria,2000,Fuel,TWh,0.0
Austria,2000,Fuel,TWh,0.07
Austria,2000,Total,TWh,59.64
Austria,2000,Electricity imports,TWh,-1.37
Austria,2000,Aggregate fuel,mtCO2,1.32
Austria,2000,Aggregate fuel,mtCO2,10.81
Austria,2000,Aggregate fuel,mtCO2,5.24
Austria,2000,Aggregate fuel,mtCO2,1.32
Austria,2000,Aggregate fuel,mtCO2,1.32
Austria,2000,Aggregate fuel,mtCO2,0.0
Austria,2000,CO2 intensity,gCO2/kWh,203.39
Austria,2000,Fuel,mtCO2,0.33
Austria,2000,Fuel,mtCO2,5.57
Austria,2000,Fuel,mtCO2,3.51
Austria,2000,Fuel,mtCO2,0.99
Austria,2000,Fuel,mtCO2,0.0
Austria,2000,Fuel,mtCO2,1.73
Austria,2000,Fuel,mtCO2,0.0
Austria,2000,Fuel,mtCO2,0.0
Austria,2000,Fuel,mtCO2,0.0
Austria,2000,Total,mtCO2,12.13
Austria,2001,Aggregate fuel,GW,12.52
Austria,2001,Aggregate fuel,GW,3.34
Austria,2001,Aggregate fuel,GW,1.48
Austria,2001,Aggregate fuel,GW,12.44
Austria,2001,Aggregate fuel,GW,12.52
Austria,2001,Aggregate fuel,GW,0.08
Austria,2001,Fuel,GW,0.79
Austria,2001,Fuel,GW,1.86
Austria,2001,Fuel,GW,1.29
Austria,2001,Fuel,GW,11.64
Austria,2001,Fuel,GW,
Austria,2001,Fuel,GW,0.19
Austria,2001,Fuel,GW,0.01
Austria,2001,Fuel,GW,0.01
Austria,2001,Fuel,GW,0.07
Austria,2001,Demand,TWh,61.2
Austria,2001,Demand per capita,MWh,7.61
Austria,2001,Aggregate fuel,%,69.27
Austria,2001,Aggregate fuel,%,30.73
Austria,2001,Aggregate fuel,%,19.43
