Country,Year,Forecast,Lower_90,Upper_90,Model
Tunisia,2025,22.77,16.02,29.95,Ridge
Tunisia,2026,22.63,14.32,31.4,Ridge
Tunisia,2027,23.34,15.22,31.79,Ridge
Tunisia,2028,23.8,15.55,32.46,Ridge
Tunisia,2029,24.2,15.67,33.11,Ridge
Tunisia,2030,24.65,16.02,33.64,Ridge
Austria,2025,71.54,70.94,73.47,RandomForest
Austria,2026,71.15,70.75,73.28,RandomForest
Austria,2027,71.3,70.99,73.33,RandomForest
Austria,2028,71.32,70.77,73.29,RandomForest
Austria,2029,71.18,70.86,73.4,RandomForest
Austria,2030,71.18,70.89,73.36,RandomForest
Germany,2025,417.88,416.64,615.17,Ridge
Germany,2026,368.01,320.52,595.84,Ridge
Germany,2027,359.09,289.51,580.14,Ridge
Germany,2028,355.41,267.36,586.7,Ridge
Germany,2029,349.43,248.36,583.55,Ridge
Germany,2030,342.52,235.07,579.61,Ridge
Egypt,2025,242.56,237.63,247.5,ARIMA_1_1_1
Egypt,2026,249.32,244.03,254.46,ARIMA_1_1_1
Egypt,2027,256.09,250.23,261.44,ARIMA_1_1_1
Egypt,2028,262.85,256.56,268.4,ARIMA_1_1_1
Egypt,2029,269.62,262.9,275.37,ARIMA_1_1_1
Egypt,2030,276.38,269.1,282.34,ARIMA_1_1_1
Canada,2025,616.26,614.41,619.42,LinearTrend
Canada,2026,617.61,615.56,620.97,LinearTrend
Canada,2027,618.97,616.7,622.54,LinearTrend
Canada,2028,620.32,617.84,624.1,LinearTrend
Canada,2029,621.67,618.98,625.71,LinearTrend
Canada,2030,623.02,620.13,627.34,LinearTrend
France,2025,490.89,487.79,493.98,LinearTrend (fallback from Ridge)
France,2026,489.69,486.6,492.79,LinearTrend (fallback from Ridge)
France,2027,488.5,485.4,491.6,LinearTrend (fallback from Ridge)
France,2028,487.31,484.21,490.41,LinearTrend (fallback from Ridge)
France,2029,486.12,483.02,489.22,LinearTrend (fallback from Ridge)
France,2030,484.93,481.83,488.02,LinearTrend (fallback from Ridge)
Kuwait,2025,89.56,88.76,90.17,LinearTrend
Kuwait,2026,91.82,90.99,92.51,LinearTrend
Kuwait,2027,94.08,93.21,94.84,LinearTrend
Kuwait,2028,96.34,95.42,97.14,LinearTrend
Kuwait,2029,98.6,97.63,99.45,LinearTrend
Kuwait,2030,100.87,99.82,101.75,LinearTrend
