Country,Model,Year,Forecast,Lower_90,Upper_90
Tunisia,MLP,2025,22.746233822125518,22.746233822125518,25.818085202022328
Tunisia,MLP,2026,24.56479917089181,24.56479917089181,27.63665055078862
Tunisia,MLP,2027,23.874029718276688,23.874029718276688,26.638418275211166
Tunisia,MLP,2028,23.621091794090464,23.621091794090464,26.46061047244843
Tunisia,MLP,2029,22.93512592017583,22.93512592017583,25.635244977610487
Tunisia,MLP,2030,22.93512592017583,22.93512592017583,25.543526806016917
Austria,TFT,2025,72.62102480671273,71.07616565756288,74.73513135132167
Austria,TFT,2026,72.68178903895557,71.13692988980573,74.79589558356452
Austria,TFT,2027,72.67158724956933,71.78606701371416,74.37453530802144
Austria,TFT,2028,72.59687474568203,72.03731061914908,74.09424356105572
Austria,TFT,2029,72.61080861936982,72.18548593731788,73.90022453158618
Austria,TFT,2030,72.61080861936982,72.20411567196342,73.88444068704139
Germany,TCN,2025,527.440871407038,457.6724484227142,527.440871407038
Germany,TCN,2026,543.1016488076239,473.33322582330004,543.1016488076239
Germany,TCN,2027,555.4225494096642,493.0453717687772,555.4225494096642
Germany,TCN,2028,552.5680672378784,493.88651226870985,552.5680672378784
Germany,TCN,2029,560.3810536484978,503.8554853447047,560.3810536484978
Germany,TCN,2030,560.3810536484978,504.3112358217432,560.3810536484978
Egypt,TCN,2025,237.40035139534626,237.40035139534626,259.4434357163754
Egypt,TCN,2026,231.6540525078393,231.6540525078393,253.69713682886845
Egypt,TCN,2027,236.72458630787003,236.72458630787003,253.26431819132134
Egypt,TCN,2028,236.64803463673223,236.64803463673223,250.66368794121675
Egypt,TCN,2029,235.9783107175689,235.9783107175689,250.76189602165823
Egypt,TCN,2030,235.9783107175689,235.9783107175689,249.39039509909205
Canada,MLP,2025,616.5080309260279,610.383589145841,627.9555348371035
Canada,MLP,2026,619.2073621528042,613.0829203726173,630.6548660638798
Canada,MLP,2027,621.4547068264384,617.577095892075,630.1972410800611
Canada,MLP,2028,621.5349530782694,618.7807575668178,628.9250025031656
Canada,MLP,2029,621.5940724156299,619.2524453230044,628.1994491493851
Canada,MLP,2030,621.5940724156299,619.7453916313226,628.0900605836723
France,TCN,2025,480.9380113348857,428.8304946207709,480.9380113348857
France,TCN,2026,470.26610159430487,418.15858488019006,470.26610159430487
France,TCN,2027,482.05205166197794,437.7622577638328,482.05205166197794
France,TCN,2028,463.48818533357746,423.0279010800225,463.48818533357746
France,TCN,2029,461.4439561446226,422.1387122849384,461.4439561446226
France,TCN,2030,461.4439561446226,423.01222795782,461.4439561446226
Kuwait,TCN,2025,91.75483270772898,91.49906340856354,99.27893031458274
Kuwait,TCN,2026,90.09772480225635,89.84195550309092,97.62182240911011
Kuwait,TCN,2027,91.07256355348242,91.07256355348242,97.9162144289238
Kuwait,TCN,2028,92.23517807963987,92.23517807963987,98.40342302517446
Kuwait,TCN,2029,93.02451634538845,93.02451634538845,99.33011028757068
Kuwait,TCN,2030,93.02451634538845,93.02451634538845,98.96426544661705
