Country,Year,Forecast,Lower_90,Upper_90,Model
Tunisia,2025,23.71,16.53,32.52,Ridge
Tunisia,2026,23.88,15.6,33.38,Ridge
Tunisia,2027,24.73,16.8,33.49,Ridge
Tunisia,2028,25.27,17.84,33.9,Ridge
Tunisia,2029,25.72,18.23,34.38,Ridge
Tunisia,2030,26.18,18.59,34.84,Ridge
Austria,2025,71.56,71.05,73.45,RandomForest
Austria,2026,71.23,70.99,73.31,RandomForest
Austria,2027,71.5,71.22,73.4,RandomForest
Austria,2028,71.46,71.23,73.41,RandomForest
Austria,2029,71.43,71.31,73.47,RandomForest
Austria,2030,71.42,71.29,73.46,RandomForest
Germany,2025,396.65,361.89,601.0,Ridge
Germany,2026,360.67,320.22,585.64,Ridge
Germany,2027,372.41,338.63,576.4,Ridge
Germany,2028,380.06,360.99,574.17,Ridge
Germany,2029,376.49,358.53,573.25,Ridge
Germany,2030,370.2,352.02,570.77,Ridge
Egypt,2025,242.56,237.45,247.5,ARIMA_1_1_1
Egypt,2026,249.32,243.64,254.46,ARIMA_1_1_1
Egypt,2027,256.09,249.85,261.41,ARIMA_1_1_1
Egypt,2028,262.85,256.06,268.37,ARIMA_1_1_1
Egypt,2029,269.62,262.27,275.33,ARIMA_1_1_1
Egypt,2030,276.38,268.48,282.29,ARIMA_1_1_1
Canada,2025,616.26,614.28,618.78,LinearTrend
Canada,2026,617.61,615.44,620.31,LinearTrend
Canada,2027,618.97,616.6,621.78,LinearTrend
Canada,2028,620.32,617.76,623.25,LinearTrend
Canada,2029,621.67,618.92,624.71,LinearTrend
Canada,2030,623.02,620.08,626.18,LinearTrend
France,2025,237.99,237.99,472.64,Ridge
France,2026,201.43,201.43,463.64,Ridge
France,2027,225.48,225.48,465.78,Ridge
France,2028,243.91,243.91,471.12,Ridge
France,2029,240.49,240.49,466.9,Ridge
France,2030,232.67,232.67,463.34,Ridge
Kuwait,2025,89.56,88.69,90.21,LinearTrend
Kuwait,2026,91.82,90.91,92.53,LinearTrend
Kuwait,2027,94.08,93.12,94.82,LinearTrend
Kuwait,2028,96.34,95.34,97.13,LinearTrend
Kuwait,2029,98.6,97.57,99.46,LinearTrend
Kuwait,2030,100.87,99.78,101.78,LinearTrend
