Country,Model,MAE,RMSE,MAPE,SMAPE,N
Austria,MLP,1.5132164133118131,1.9770488860477737,2.090663246558031,2.0853034898597365,4
Austria,N-BEATS,1.553283268421481,1.8405099917703776,2.134057147828406,2.1434724824946523,4
Austria,TCN,1.8477577976462598,2.0428050876072916,2.5523935992298985,2.5464470748996533,4
Austria,TFT,1.9436541440326494,2.5676385918515083,2.6617889578344434,2.7041788093504238,4
Canada,MLP,7.249909996436742,8.567765475717893,1.1736447731501694,1.1832531064181462,4
Canada,N-BEATS,11.422148295811809,13.116682710164104,1.8488479890327605,1.8715354514279976,4
Canada,TCN,6.782234062004363,9.137246772734887,1.0956996700303054,1.1065286171090851,4
Canada,TFT,6.778157394823808,7.457153967767704,1.102632616283493,1.1097880262771587,4
Egypt,MLP,14.154837631188514,15.998973194205222,6.3107098060159,6.571335800639138,4
Egypt,N-BEATS,30.784649025330992,31.160129461108816,13.945410319924658,15.009308496063289,4
Egypt,TCN,12.329816550148628,12.750521783831758,5.575891644388604,5.7450471633899145,4
Egypt,TFT,7.439835809414916,9.47998064117273,3.3834675525598588,3.479697494340788,4
France,MLP,23.944330668127762,25.176921590322422,5.020581169479364,4.9056045891823965,4
France,N-BEATS,25.13769024737809,29.4074810567718,5.331750327390576,5.143439848923994,4
France,TCN,22.898126663201623,24.963151217516117,4.827852538457192,4.698079889297367,4
France,TFT,25.47731712170841,29.76374914094143,5.317086685926553,5.1842117579856195,4
Germany,MLP,18.454352919607132,18.914203581514013,3.523594189559255,3.5058658653589028,4
Germany,N-BEATS,41.797383815624315,45.88037398820882,8.063855005910234,7.68477405329283,4
Germany,TCN,23.528963462100293,26.36717380843888,4.4353950241358255,4.362759233685306,4
Germany,TFT,26.533718944518384,29.269330290792162,5.070312783318837,4.925283068563305,4
Kuwait,MLP,6.226752258765547,6.761694483230552,7.3736255777488395,7.709548245495633,4
Kuwait,N-BEATS,12.779591526790423,12.787031047916837,15.075160436372315,16.30643411795059,4
Kuwait,TCN,3.500745294994406,4.031270250088953,4.18077468554417,4.2996248024396095,4
Kuwait,TFT,3.878695555173909,4.232885044665091,4.606263625221704,4.736637760699624,4
Tunisia,MLP,1.4298293806766118,1.5590114633225283,6.1109128278269225,6.342953907265743,4
Tunisia,N-BEATS,3.047464887799353,3.0874750447069905,12.932323621485697,13.848516915972162,4
Tunisia,TCN,1.123314953583658,1.3589509823385761,4.750650437825191,4.921096674328615,4
Tunisia,TFT,1.3916396954884025,1.5702108156770436,5.937855377055952,6.1686244564749835,4
