Country,Model,Year,Forecast,Lower_90,Upper_90
Tunisia,TCN,2025,23.953311209048643,23.953311209048643,26.179031726079472
Tunisia,TCN,2026,24.778459913556517,24.778459913556517,27.004180430587347
Tunisia,TCN,2027,24.649333084641377,24.649333084641377,26.61559939741739
Tunisia,TCN,2028,24.090692520453832,24.090692520453832,25.85545189896132
Tunisia,TCN,2029,24.27505507104653,24.27505507104653,25.988247042217882
Tunisia,TCN,2030,24.27505507104653,24.27505507104653,25.933491463073995
Austria,MLP,2025,73.48312338917341,70.54754887790554,76.10831829577607
Austria,MLP,2026,72.24851384036694,69.31293932909907,74.8737087469696
Austria,MLP,2027,72.06266200223492,70.00767315750996,73.87888484788255
Austria,MLP,2028,71.55735491467887,69.94265890322536,72.969091729849
Austria,MLP,2029,71.74598714891881,70.37889119213943,72.83596129820197
Austria,MLP,2030,71.74598714891881,70.29532321592421,72.95788508283609
Germany,MLP,2025,509.6604355817931,485.8237929354973,528.7565891060531
Germany,MLP,2026,506.284602187487,482.4479595411912,525.3807557117469
Germany,MLP,2027,505.2485196762507,483.124477033086,522.0412129827474
Germany,MLP,2028,497.4938700454231,477.5105774061723,511.4936178378819
Germany,MLP,2029,500.87548016408795,486.2470626249088,514.5124329722491
Germany,MLP,2030,500.87548016408795,485.90690354934924,511.66443755104035
Egypt,TFT,2025,238.42580447630533,237.23340669552329,252.7152776725536
Egypt,TFT,2026,237.97229397105912,236.77989619027707,252.2617671673074
Egypt,TFT,2027,237.38049105451773,237.38049105451773,250.33463183423453
Egypt,TFT,2028,235.2393499752332,235.2393499752332,248.0137344681092
Egypt,TFT,2029,232.6023296636016,232.6023296636016,245.24831680873422
Egypt,TFT,2030,232.6023296636016,232.6023296636016,243.83072098922992
Canada,TCN,2025,616.4468862867309,615.3523596769161,633.503187924698
Canada,TCN,2026,620.2975909909427,619.2030643811279,637.3538926289098
Canada,TCN,2027,617.858497721111,617.858497721111,631.0180720618848
Canada,TCN,2028,620.0678219538443,620.0678219538443,632.5864165298658
Canada,TCN,2029,619.3048208027144,619.3048208027144,630.983397087034
Canada,TCN,2030,619.3048208027144,619.3048208027144,630.2382940085729
France,TCN,2025,468.9993878862754,433.3169043187616,476.9719804920766
France,TCN,2026,455.912234955342,420.22975138782823,463.88482756114325
France,TCN,2027,457.0065368982178,424.61241824971364,457.0065368982178
France,TCN,2028,451.0695086157238,420.31957242672445,451.0695086157238
France,TCN,2029,456.6404064763734,427.6164491913726,456.6404064763734
France,TCN,2030,456.6404064763734,427.12291933453355,456.6404064763734
Kuwait,TCN,2025,92.57615209860168,91.85401466120935,98.18219809330377
Kuwait,TCN,2026,87.99417076193659,87.27203332454425,93.60021675663867
Kuwait,TCN,2027,87.95010913771196,87.95010913771196,93.2719890677426
Kuwait,TCN,2028,90.26806241537312,90.26806241537312,95.11925084711541
Kuwait,TCN,2029,90.36704866841514,90.36704866841514,95.1803859954116
Kuwait,TCN,2030,90.36704866841514,90.36704866841514,94.84824001779252
