Country,Year,Forecast,Lower_90,Upper_90,Model
Tunisia,2025,25.13,24.68,25.15,LinearTrend
Tunisia,2026,25.75,25.28,25.78,LinearTrend
Tunisia,2027,26.37,25.89,26.41,LinearTrend
Tunisia,2028,26.99,26.49,27.04,LinearTrend
Tunisia,2029,27.61,27.1,27.68,LinearTrend
Tunisia,2030,28.23,27.7,28.31,LinearTrend
Austria,2025,71.78,70.91,73.6,RandomForest
Austria,2026,71.45,70.65,73.43,RandomForest
Austria,2027,71.59,70.85,73.5,RandomForest
Austria,2028,71.59,70.73,73.34,RandomForest
Austria,2029,71.49,70.7,73.36,RandomForest
Austria,2030,71.53,70.75,73.36,RandomForest
Germany,2025,494.54,480.22,501.3,Holt
Germany,2026,480.28,464.15,490.52,Holt
Germany,2027,466.1,448.68,480.25,Holt
Germany,2028,451.99,433.02,469.86,Holt
Germany,2029,437.95,417.24,459.47,Holt
Germany,2030,423.98,400.75,449.07,Holt
Egypt,2025,242.56,237.66,247.53,ARIMA_1_1_1
Egypt,2026,249.32,244.09,254.56,ARIMA_1_1_1
Egypt,2027,256.09,250.53,261.6,ARIMA_1_1_1
Egypt,2028,262.85,256.97,268.64,ARIMA_1_1_1
Egypt,2029,269.62,263.4,275.66,ARIMA_1_1_1
Egypt,2030,276.38,269.72,282.69,ARIMA_1_1_1
Canada,2025,616.26,614.27,619.19,LinearTrend
Canada,2026,617.61,615.41,620.7,LinearTrend
Canada,2027,618.97,616.62,622.21,LinearTrend
Canada,2028,620.32,617.82,623.67,LinearTrend
Canada,2029,621.67,619.02,625.14,LinearTrend
Canada,2030,623.02,620.23,626.63,LinearTrend
France,2025,462.31,449.79,468.04,Holt
France,2026,454.45,440.54,463.33,Holt
France,2027,446.63,431.4,460.18,Holt
France,2028,438.85,422.61,458.12,Holt
France,2029,431.11,413.5,456.09,Holt
France,2030,423.4,404.19,453.79,Holt
Kuwait,2025,89.56,88.52,90.11,LinearTrend
Kuwait,2026,91.82,90.75,92.44,LinearTrend
Kuwait,2027,94.08,92.97,94.75,LinearTrend
Kuwait,2028,96.34,95.14,97.05,LinearTrend
Kuwait,2029,98.6,97.31,99.37,LinearTrend
Kuwait,2030,100.87,99.51,101.69,LinearTrend
