Country,Model,MAE,RMSE,MAPE,SMAPE,N
Austria,MLP,1.4641709941403143,1.868950613086282,2.0107533612881956,2.020874119890385,4
Austria,N-BEATS,1.3779978125646046,1.5729961439288167,1.8963083926896225,1.9008132447754793,4
Austria,TCN,2.362799716426995,2.6759824115673445,3.2705693425827493,3.2483640770455255,4
Austria,TFT,2.177492331429889,2.3885625977160685,3.006671951950135,3.010176820926622,4
Canada,MLP,5.714154166415312,7.817848169267923,0.9227921635713149,0.930757018413702,4
Canada,N-BEATS,10.121314805540948,12.37174857790894,1.6359494856474064,1.6560813043706268,4
Canada,TCN,7.0276088989481025,8.369299511325957,1.1366423506494903,1.145803166238512,4
Canada,TFT,6.506339490184018,8.520238413767574,1.0555518185309378,1.065133345556437,4
Egypt,MLP,12.130716542809559,13.651577480938025,5.4121666812581495,5.597705266131104,4
Egypt,N-BEATS,26.726289309158147,27.22464937623291,12.11428963759738,12.919527863802523,4
Egypt,TCN,8.600681646705375,9.255341678222022,3.920299802774594,4.012064911374402,4
Egypt,TFT,8.157565309063571,9.162756248081186,3.739935363763481,3.832290368676057,4
France,MLP,21.787331338234367,24.13467707276419,4.5865333790385945,4.4675037243290765,4
France,N-BEATS,25.732372416703186,29.701168776341746,5.450146438340344,5.258261007963973,4
France,TCN,21.71580829246399,23.660348627419236,4.5573044267654215,4.450640787082323,4
France,TFT,23.19579002949793,25.470467031978256,4.835393474538312,4.7409392949539875,4
Germany,MLP,17.403485994944873,18.988641006359295,3.251973448815018,3.245037853512494,4
Germany,N-BEATS,39.018732712547475,42.393932281899296,7.5030318035485655,7.180680214580781,4
Germany,TCN,23.048533672539435,24.21212502253673,4.377027780189479,4.316503060440388,4
Germany,TFT,34.68158650243008,39.16506110732217,6.6934304195238745,6.4193713407411614,4
Kuwait,MLP,6.791873005240369,7.110465515772468,8.027045389015303,8.398487775204524,4
Kuwait,N-BEATS,12.24446704735589,12.485381143180382,14.482280902106048,15.670518890138723,4
Kuwait,TCN,4.367331313137498,5.161268029197769,5.159223317086674,5.351352641530214,4
Kuwait,TFT,4.872950465375311,5.393516038088271,5.777016584991953,5.988924135868864,4
Tunisia,MLP,1.167360763157557,1.4031363981088505,4.91419436546316,5.094535034700232,4
Tunisia,N-BEATS,2.6894098278470677,2.8127917737525903,11.405710425246015,12.163151269948823,4
Tunisia,TCN,1.3207160298922318,1.791964934781903,5.567555184725963,5.866553113500901,4
Tunisia,TFT,1.0865397762093396,1.4257348102882932,4.595604413033532,4.774026608304139,4
