Country,Model,Year,Forecast,Lower_90,Upper_90
Tunisia,TFT,2025,23.657157612926106,23.313033882587916,26.25080345743311
Tunisia,TFT,2026,23.775302876016966,23.431179145678776,26.36894872052397
Tunisia,TFT,2027,23.852743160317416,23.516327796478787,25.47484084637558
Tunisia,TFT,2028,23.880232273718807,23.553163304260895,25.720750645548634
Tunisia,TFT,2029,23.81043935096514,23.757243566424854,25.50107963141817
Tunisia,TFT,2030,23.81043935096514,23.716463941958096,25.41237195121316
Austria,N-BEATS,2025,71.83453449868732,69.93886040169869,74.16509642584326
Austria,N-BEATS,2026,71.88984567226214,69.99417157527351,74.22040759941808
Austria,N-BEATS,2027,71.69868375052013,70.27093245758029,73.51700821571463
Austria,N-BEATS,2028,71.58201099691904,70.38822110600358,73.1442167311328
Austria,N-BEATS,2029,71.53467177104679,70.71480712936224,72.71382414805727
Austria,N-BEATS,2030,71.53467177104679,70.76946695550262,72.66829242988926
Germany,MLP,2025,521.8921686341205,494.27924699575385,542.4402418283713
Germany,MLP,2026,524.2303181589014,496.6173965205347,544.7783913531522
Germany,MLP,2027,505.74673811332667,491.518635638865,522.3194007759365
Germany,MLP,2028,482.26766726021685,469.92857906384614,498.30517850510574
Germany,MLP,2029,477.3069699371677,463.4446531619107,492.9622301693988
Germany,MLP,2030,477.3069699371677,466.99038514808007,490.2022074718751
Egypt,TFT,2025,238.9926573677146,238.9926573677146,252.75256408238056
Egypt,TFT,2026,237.8673639117717,237.8673639117717,251.62727062643765
Egypt,TFT,2027,238.3365713860175,238.3365713860175,249.83863781094269
Egypt,TFT,2028,236.21199821083098,236.21199821083098,247.9472364358332
Egypt,TFT,2029,233.20913984909353,233.20913984909353,244.53944437616298
Egypt,TFT,2030,233.20913984909353,233.20913984909353,244.38696878813965
Canada,MLP,2025,615.4036156349962,615.4036156349962,630.2807234642529
Canada,MLP,2026,619.5462480007628,619.5462480007628,634.4233558300195
Canada,MLP,2027,619.8225736327744,619.8225736327744,630.8379225025989
Canada,MLP,2028,619.6695819509093,619.6695819509093,631.6167310504125
Canada,MLP,2029,619.6978921497189,619.6978921497189,629.9153231999205
Canada,MLP,2030,619.6978921497189,619.6978921497189,628.7610565167136
France,TCN,2025,451.7445909655036,415.136980346245,463.94272980881357
France,TCN,2026,443.5690386510013,406.9614280317427,455.7671774943112
France,TCN,2027,449.6103886754964,417.65707462472506,450.3147735684425
France,TCN,2028,447.2903942925796,417.6642285260519,447.2903942925796
France,TCN,2029,449.2946025370924,422.44814181034747,449.2946025370924
France,TCN,2030,449.2946025370924,422.0790894773334,449.2946025370924
Kuwait,TCN,2025,92.3586412956071,92.3586412956071,100.62101094194749
Kuwait,TCN,2026,91.89008106446762,91.89008106446762,100.15245071080801
Kuwait,TCN,2027,92.84493848128946,92.84493848128946,100.09501223256544
Kuwait,TCN,2028,94.76168353004581,94.76168353004581,101.5056093337896
Kuwait,TCN,2029,94.70770851260052,94.70770851260052,100.9654985792409
Kuwait,TCN,2030,94.70770851260052,94.70770851260052,100.87953388433785
